19723,darin,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui\Eclipse UI Text Editor\org\eclipse\ui\editors\text\IStorageDocumentProvider.java,kmaetzel ,cvs kmaetzel dbaeumer dejan cknaus vlad maeschlimann akiezun maeschli aweinand ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
19723,darin,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui\Eclipse UI Text Editor\org\eclipse\ui\editors\text\EncodingActionGroup.java,kmaetzel ,cvs kmaetzel dbaeumer dejan cknaus vlad maeschlimann akiezun maeschli aweinand ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
19723,darin,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui\Eclipse UI\org\eclipse\ui\internal\model\WorkbenchWorkspace.java,tod nick eduardo karice kevinh ,jburns darin dejan vlad darins akiezun pmulet ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,1,1,1
19723,darin,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.team.cvs.core\src\org\eclipse\team\internal\ccvs\core\IUserAuthenticator.java,james mvalenta jlemieux ,pmulet othomann darin jlanneluc darins jburns rodrigo jszursze dejan dj ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,1,1,1
19723,darin,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.jdt.ui\ui\org\eclipse\jdt\internal\ui\jarpackager\CreateJarActionDelegate.java,dmegert dbaeumer cvs ,dmegert cvs maeschlimann dbaeumer akiezun egamma maeschli aweinand cknaus kmaetzel ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
20789,darin,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.jdt.core\search\org\eclipse\jdt\internal\core\index\impl\IndexBlock.java,pmulet othomann ,pmulet othomann kjohnson jlanneluc daudel ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
20789,darin,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.pde.core\src\org\eclipse\pde\internal\core\EntryFileAdapter.java,dejan ,pmulet othomann darin jlanneluc darins jburns rodrigo jszursze dejan dj ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,1,1,1
20789,darin,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.jdt.core\search\org\eclipse\jdt\internal\core\index\impl\LRUCache.java,pmulet othomann ,pmulet othomann kjohnson jlanneluc daudel ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
20789,darin,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.jdt.core\model\org\eclipse\jdt\core\util\ILocalVariableTableEntry.java,othomann jlanneluc ,othomann jlanneluc cvs pmulet dbaeumer maeschlimann akiezun egamma dejan dbirsan ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
20789,darin,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.pde.core\src\org\eclipse\pde\internal\core\build\Build.java,dejan vlad ,rodrigo vlad dj dejan jeff ggayed kkolosow sdimitro ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
20789,darin,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\util\LRUCache.java,pmulet othomann jlanneluc ,othomann jlanneluc cvs pmulet dbaeumer maeschlimann akiezun egamma dejan dbirsan ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
20789,darin,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\OverflowingLRUCache.java,pmulet jlanneluc othomann ,pmulet othomann darin jlanneluc darins jburns rodrigo jszursze dejan dj ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,1,1,1
20789,darin,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.jdt.launching\launching\org\eclipse\jdt\launching\sourcelookup\LocalFileStorage.java,darin darins ,darin darins jszursze ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,1,1,1,1
20789,darin,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.pde.ui\src\org\eclipse\pde\internal\ui\wizards\templates\ControlStack.java,dejan ,dejan ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
20789,darin,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.pde.core\src\org\eclipse\pde\internal\core\PluginModelDelta.java,dejan ,pmulet othomann darin jlanneluc darins jburns rodrigo jszursze dejan dj ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,1,1,1
21097,eduardo,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui\Eclipse UI\org\eclipse\ui\actions\OpenNewPageMenu.java,sarsenau tod nick eduardo karice kevinh ,darins dbaeumer akiezun darin jburns dmegert eduardo maeschlimann jszursze cvs  ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,1,1,0,1
21097,eduardo,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui\Eclipse UI\org\eclipse\ui\IPageListener.java,tod nick eduardo karice kevinh ,darins darin jszursze cvs egamma eduardo jburns dbirsan kkolosow dwright ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,1,1,0,1
21097,eduardo,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui\Eclipse UI\org\eclipse\ui\internal\dialogs\PropertyPageNode.java,tod nick eduardo karice kevinh ,maeschlimann cvs cknaus akiezun maeschli dbaeumer dmegert egamma dwright ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,1,0,0,1
21097,eduardo,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui\Eclipse UI\org\eclipse\ui\internal\misc\TestPageListener.java,tod nick eduardo karice kevinh ,greg eduardo,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,1,1,0,1
21097,eduardo,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui\Eclipse UI\org\eclipse\ui\IWorkbenchPropertyPage.java,tod nick eduardo karice kevinh ,darins darin jszursze cvs egamma jburns dbirsan kkolosow dwright rodrigo ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,1,0,0,1
21097,eduardo,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui\Eclipse UI\org\eclipse\ui\part\PageBook.java,tod nick eduardo karice kevinh ,tod nick eduardo karice kevinh randyg sarsenau ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,1,1,0,1
21097,eduardo,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.update.ui.forms\src\org\eclipse\update\ui\forms\internal\ScrollableSectionForm.java,dejan ,aweinand cvs darins darin egamma dejan maeschlimann vlad kkolosow jburns ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,0,0
21097,eduardo,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.pde.ui\src\org\eclipse\pde\internal\ui\wizards\templates\NewPluginTemplateChoiceWizard.java,dejan ,dejan ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,0,0
21097,eduardo,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.jdt.ui\ui refactoring\org\eclipse\jdt\internal\ui\refactoring\ModifyParametersInputPage.java,akiezun dmegert ,akiezun dbaeumer cvs maeschlimann aweinand dmegert egamma maeschli cknaus ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,0,0
21097,eduardo,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui\Eclipse UI\org\eclipse\ui\actions\OpenPerspectiveMenu.java,sarsenau tod nick eduardo davids karice kevinh ,darins dbaeumer akiezun darin jburns dmegert maeschlimann jszursze cvs maeschli ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,1,0,0,1
22360,tod,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui\Eclipse UI\org\eclipse\ui\internal\dialogs\ZipFileResourceExportOperation.java,tod nick eduardo karice kevinh ,maeschlimann cvs cknaus akiezun maeschli dbaeumer dmegert egamma dwright ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,1,0,0,1
22360,tod,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui\Eclipse UI Standard Components\org\eclipse\ui\wizards\datatransfer\ZipFileExportWizard.java,tod nick eduardo karice kevinh ,tod nick eduardo karice kevinh ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,1,1,0,1
22360,tod,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui\Eclipse UI Standard Components\org\eclipse\ui\views\navigator\GotoResourceDialog.java,randyg tod nick eduardo karice kevinh ,randyg tod nick eduardo karice kevinh ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,1,1,0,1
22360,tod,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.team.cvs.ui\src\org\eclipse\team\internal\ccvs\ui\actions\IgnoreAction.java,james jlemieux ,darins dbaeumer akiezun darin jburns dmegert maeschlimann jszursze tod maeschli ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,1,0,1
22360,tod,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.team.cvs.ui\src\org\eclipse\team\internal\ccvs\ui\actions\SetKeywordSubstitutionAction.java,james jlemieux ,darins dbaeumer akiezun darin jburns dmegert maeschlimann jszursze tod maeschli ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,1,0,1
22360,tod,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui\Eclipse UI Standard Components\org\eclipse\ui\views\navigator\ResourceSorter.java,tod nick eduardo karice kevinh ,tod nick eduardo karice kevinh randyg ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,1,1,0,1
22360,tod,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.team.cvs.ui\src\org\eclipse\team\internal\ccvs\ui\CVSDecorator.java,jlemieux james mvalenta kevinm ,darins darin jszursze cvs egamma jburns dbirsan kkolosow tod rodrigo ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,1,0,1
22360,tod,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.team.ui\src\org\eclipse\team\internal\ui\target\TargetAction.java,kevinm mvalenta jlemieux ,kevinm mvalenta jlemieux ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,0,0
22360,tod,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.jdt.ui\ui\org\eclipse\jdt\internal\ui\reorg\SourceReferenceAction.java,akiezun dbaeumer maeschlimann ,akiezun dbaeumer cvs tmaeder dmegert maeschlimann cknaus egamma aweinand kmaetzel ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,0,0
22360,tod,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.team.cvs.ui\src\org\eclipse\team\internal\ccvs\ui\actions\CompareRemoteResourcesAction.java,james jlemieux ,darins dbaeumer akiezun darin jburns dmegert maeschlimann jszursze tod maeschli ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,1,0,1
24744,Othomann,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.jdt.core\dom\org\eclipse\jdt\core\dom\Statement.java,othomann pmulet jdesrivieres ,othomann jdesrivieres pmulet dbaeumer akiezun jlanneluc maeschlimann maeschli ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,1,1,1,1
24744,Othomann,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui\Eclipse UI Standard Components\org\eclipse\ui\views\tasklist\PasteTaskAction.java,randyg tod nick eduardo karice kevinh ,tod nick randyg eduardo karice kevinh kradloff jlebrun ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
24744,Othomann,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.jdt.ui\core refactoring\org\eclipse\jdt\internal\corext\refactoring\nls\NLSScanner.java,akiezun dbaeumer ,akiezun dbaeumer dmegert maeschlimann ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
24744,Othomann,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui\Eclipse UI Standard Components\org\eclipse\ui\views\tasklist\RemoveTaskAction.java, , ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
24744,Othomann,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui.externaltools\External Tools\org\eclipse\ui\externaltools\internal\ui\AntTasksPage.java,sarsenau ,darins darin jszursze cvs egamma jburns dbirsan kkolosow dwright rodrigo ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
24744,Othomann,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui\Eclipse UI Standard Components\org\eclipse\ui\views\tasklist\DefaultTaskListResourceAdapter.java,randyg tod ,tod nick randyg eduardo karice kevinh kradloff jlebrun ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
24744,Othomann,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui\Eclipse UI Standard Components\org\eclipse\ui\views\tasklist\TaskList.java,nick randyg tod kradloff eduardo karice jlebrun kevinh ,tod nick randyg eduardo karice kevinh kradloff jlebrun ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
24744,Othomann,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui\Eclipse UI Standard Components\org\eclipse\ui\views\tasklist\TaskPropertiesDialog.java,nick tod ,tod nick randyg eduardo karice kevinh kradloff jlebrun ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
24744,Othomann,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.core.runtime\src\org\eclipse\core\runtime\IProgressMonitor.java,vlad dj johna jeff ,dejan vlad ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
24744,Othomann,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.jdt.core\dom\org\eclipse\jdt\core\dom\Javadoc.java,othomann pmulet jdesrivieres ,othomann jdesrivieres pmulet dbaeumer akiezun jlanneluc maeschlimann maeschli ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,1,1,1,1
25260,droberts,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.pde.core\src\org\eclipse\pde\internal\core\ifeature\IFeatureChild.java,dejan ,dejan ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,0,0
25260,droberts,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.pde.core\src\org\eclipse\pde\internal\core\ifeature\IVersonable.java,dejan ,dejan ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,0,0
25260,droberts,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.pde.core\src\org\eclipse\pde\internal\core\feature\VersionableObject.java,dejan ,dejan ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,0,0
25260,droberts,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.update.core\src\org\eclipse\update\core\WebInstallHandler.java,vlad celek ,pmulet othomann darin jlanneluc darins jburns rodrigo jszursze dejan dj ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,0,0
25260,droberts,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.webdav\src\client\org\eclipse\webdav\internal\authentication\AuthenticateChallenge.java,dj tellison fbelling rperetti ,dj tellison fbelling rperetti ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,0,0
25260,droberts,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.webdav\src\interface\org\eclipse\webdav\ILocatorFactory.java,dj tellison ,dj tellison ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,0,0
25260,droberts,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.webdav\src\client\org\eclipse\webdav\client\ResponseInputStream.java,dj tellison jeff ,jlemieux mvalenta dj tellison jeff ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,0,0
25260,droberts,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.pde.core\src\org\eclipse\pde\internal\core\feature\FeatureChild.java,dejan ,dejan ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,0,0
25260,droberts,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.pde.core\src\org\eclipse\pde\internal\core\feature\FeaturePlugin.java,dejan ,dejan ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,0,0
25260,droberts,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.core.resources\src\org\eclipse\core\internal\resources\SyncInfoWriter.java,dj johna ,dj johna rperetti rodrigo jeff maeschlimann akiezun dwilson ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,0,0
,,,,,,19,48,80,105
,,,,,,13.57,34.29,57.14,75
